entrezgene_id	hgnc_symbol
	MT-TF
	MT-RNR1
	MT-TV
	MT-RNR2
	MT-TL1
4535	MT-ND1
	MT-TI
	MT-TQ
	MT-TM
4536	MT-ND2
	MT-TW
	MT-TA
	MT-TN
	MT-TC
	MT-TY
4512	MT-CO1
113219467	MT-TS1
	MT-TD
4513	MT-CO2
	MT-TK
4509	MT-ATP8
4508	MT-ATP6
4514	MT-CO3
	MT-TG
4537	MT-ND3
	MT-TR
4539	MT-ND4L
4538	MT-ND4
	MT-TH
	MT-TS2
	MT-TL2
4540	MT-ND5
4541	MT-ND6
	MT-TE
4519	MT-CYB
	MT-TT
	MT-TP
102724250	""
	""
65123	INTS3
339822	""
3804	KIR2DL3
79166	LILRP2
3805	KIR2DL4
	LINC02109
	LILRP1
3812	KIR3DL2
3802	KIR2DL1
3811	KIR3DL1
3808	KIR2DS3
3809	KIR2DS4
115653	KIR3DL3
3803	KIR2DL2
55251	PCMTD2
9437	NCR1
	KIR3DP1
100132285	KIR2DS2
2204	FCAR
4987	OPRL1
	KIR2DP1
2832	NPBWR2
4661	MYT1
343052	""
	GEMIN2P1
57459	GATAD2B
54474	KRT20
83896	KRTAP3-1
83897	KRTAP3-2
100132386	KRTAP4-9
11000	SLC27A3
196385	DNAH10
85294	KRTAP2-4
25984	KRT23
3810	KIR2DS5
553128	KIR2DL5B
3813	KIR3DS1
3806	KIR2DS1
80212	CCDC92
57292	KIR2DL5A
125115	KRT40
81851	KRTAP1-1
728279	""
653240	KRTAP4-11
	KRTAP2-5P
81850	KRTAP1-3
	KRTAP4-16
3859	KRT12
83895	KRTAP1-5
390792	KRT39
	KRTAP3-4P
81872	KRTAP2-1
85293	KRTAP3-3
730755	KRTAP2-3
83755	KRTAP4-12
728255	KRTAP1-4
100996750	""
728224	""
	LINC01839
105374250	LINC02054
64735	LINC00254
64711	HS3ST6
254528	MEIOB
105371048	LINC02124
79166	""
	KRT18P40
80264	ZNF430
54221	SNTG2
7594	ZNF43
163227	ZNF100
	IMPDH1P5
55256	ADI1
9231	DLG5
51112	TRAPPC12
728945	PPIAL4F
641367	CCNYL6
	RNVU1-26
6063	RNVU1-2A
641367	BRI3BPP1
7639	ZNF85
	VN1R84P
	MTDHP4
9271	PIWIL1
	RNU6-222P
283189	OR9G4
	OR5G3
	OR9G3P
	OR5G1P
	OR5G4P
	OR5G5P
	BNIP3P24
7617	ZNF66
	OR9G2P
100288966	""
390174	OR9G1
504191	OR9G9
101927120	LINC02735
100008587	RNA5-8SN5
7173	TPO
81870	""
83899	KRTAP9-2
102724788	""
85280	KRTAP9-4
83900	KRTAP9-3
	KCNQ2-AS1
	KRTAP9-10P
3785	KCNQ2
100507608	""
100533177	KRTAP29-1
100507608	KRTAP9-6
100505724	KRTAP9-7
	KRTAP9-12P
	KRTAP9-11P
81870	KRTAP9-9
102724770	""
10841	FTCD
348840	ANKRD18DP
	MREGP1
	RNU6-821P
58516	SINHCAF
284241	""
	SUDS3P1
9228	""
	FTCD-AS1
4047	LSS
22904	SBNO2
5626	PROP1
9150	CTDP1
6218	RPS17
401442	""
157697	ERICH1
5542	PRB1
653247	PRB1
102725023	""
9710	GARRE1
26065	LSM14A
643707	GOLGA6L10
647042	GOLGA6L10
	ZNF965P
	DLG5-AS1
	GXYLT1P1
	CYP4F34P
	CNN2P12
	RN7SL284P
	RNU6-1266P
	SNX18P26
643542	DSEL-AS1
	LINC00328-2P
	ANKRD20A9P
92126	DSEL
	RNU6-55P
	DNM1P38
79857	""
64506	CPEB1
51232	CRIM1
	RPL21P36
	CRIM1-DT
286083	""
84221	SPATC1L
100507435	DLGAP2-AS1
9228	DLGAP2
51151	SLC45A2
	ELMO2P1
100132979	GOLGA8DP
51289	RXFP3
81792	ADAMTS12
	GNG5P1
101929297	""
389831	""
23191	CYFIP1
100874530	APOBEC3B-AS1
200315	APOBEC3A
100913187	APOBEC3A
105371907	SEPTIN9-DT
161	AP2A2
374308	PTCHD3
	ABCB10P1
10801	SEPTIN9
728339	FRG1-DT
105377617	""
	RNU1-51P
440243	GOLGA6L22
	ODAD2P1
440021	KRTAP5-2
	FAM210CP
	TRIAP1P1
	LINC02708
26047	CNTNAP2
100132464	FAM99B
387742	FAM99A
387266	KRTAP5-3
387267	KRTAP5-4
387264	KRTAP5-1
390535	GOLGA8EP
439915	KRTAP5-5
338651	KRTAP5-AS1
114791	TUBGCP5
1850	DUSP8
8647	ABCB11
220134	SKA1
283767	GOLGA6L1
57818	G6PC2
	HERC2P2
115399	LRRC56
170506	DHX36
107987420	""
107987434	""
6606	SMN2
6607	SMN2
101928280	LINC02549
	SLC25A51P1
	ADH5P4
	HERC2P7
102724151	""
	SPATA31E3P
283796	GOLGA8IP
57405	SPC25
284207	METRNL
5596	MAPK4
